Account,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,Personal_Assets__c,Annual_Income__c
Account.025,General Utilities,Prospect,550 West Washington Boulevard,Chicago,IL,60661,USA,550 West Washington Boulevard,Chicago,IL,60661,USA,(319) 555-0153,(319) 555-0182,A425U179,http://generalutilities.net,"25,548,030",Environmental,9300000000,1000,Private,MON,Market leader in its field.,,Chicago,,,,,,,,900000,300000
Account.026,Associated Supply Co.,Customer,2056 Laurel Ave,Jefferson,TX,77701,USA,2056 Laurel Ave,Jefferson,TX,77701,USA,(792) 555-0153,(792) 555-0182,A202U785,http://www.associatedsupplyco.com,"19,337,659",Finance,21000000,2100,Private,ASS,An innovator in its area.,,Jefferson,,,,,,,,300000,1000000
Account.027,Valley Supply Inc.,Customer,6217 Santa Teresa Blvd,San Jose,CA,95119,USA,6217 Santa Teresa Blvd,San Jose,CA,95119,USA,(537) 555-0153,(537) 555-0182,A497U494,http://valleysupplyinc.net,"18,198,870",Food & Beverage,600000000,1000,Private,VAL,Up and coming player in the space.,,Sedgwick,,,,,,,,1000000,1000000
Account.028,Opportunity Resources Inc,Customer,400 North Robinson Street,Richmond,VA,23220,USA,400 North Robinson Street,Richmond,VA,23220,USA,(224) 555-0153,(224) 555-0182,A712U633,http://www.opportunityresourcesinc.com,"97,058,747",Healthcare,890000000,700,Private,OPP,Market leader in its field.,,San Diego,,,,,,,,700000,800000
Account.029,Missoula & Sons Inc.,Prospect,440 South La Salle Street,Chicago,IL,60605,USA,440 South La Salle Street,Chicago,IL,60605,USA,(178) 555-0153,(178) 555-0182,A410U240,http://missoulasonsinc.net,"39,062,427",Insurance,7600000,800,Private,MIS,An innovator in its area.,,Los Angeles,,,,,,,,500000,300000
Account.030,Big Sky & Sons,Prospect,6039 E Northwest Hwy,Dallas,TX,75225,USA,6039 E Northwest Hwy,Dallas,TX,75225,USA,(276) 555-0153,(276) 555-0182,A249U694,http://bigskysons.net,"82,627,385",Machinery,3000000,1400,Private,BIG,Market leader in its field.,,Dallas,,,,,,,,1000000,500000
Account.031,Morpon Brothers,Customer,846 Divisadero St,San Francisco,CA,94117,USA,846 Divisadero St.,San Francisco,CA,94117,USA,(344) 555-0153,(344) 555-0182,A743U199,http://www.morponbrothers.com,"77,605,068",Communications,5000000,1700,Private,MOR,Market leader in its field.,Warm,San Francisco,,,,,,,,500000,100000
Account.032,Anaco Limited,Customer,5628 SE Alder St,Multnomah,OR,97215,USA,5628 SE Alder St,Multnomah,OR,97215,USA,(655) 555-0153,(655) 555-0182,A780U572,http://anacolimited.net,"27,033,542",Consulting,510000000,1700,Private,ANA,Up and coming player in the space.,,Multnomah,,,,,,,,100000,600000
Account.033,"Datanet, Inc.",Customer,310 Henry St,New York,NY,10002,USA,310 Henry St,New York,NY,10002,USA,(678) 555-0153,(678) 555-0182,A342U756,http://www.datamart.com,"81,709,525",Communications,210000000,2400,Private,DAT,This Accounts Data is used to Drive the dashboards. Don't touch the data in this account unless you want to modify the sales dashboards.,,New York,,,,,,,,200000,700000
Account.034,Amptech Corporation,Customer,31 East Roosevelt Road,Chicago,IL,60605,USA,31 East Roosevelt Road,Chicago,IL,60605,USA,(711) 555-0153,(711) 555-0182,A275U157,http://www.amptech.com,"54,839,598",Communications,630000000,100,Private,AB,Market leader in its field.,,Santa Clara,,,,,,,,200000,200000
Account.035,"Aims Social, Inc.",Competitor,1419 Gunderson Ave,Cook,IL,60402,USA,1419 Gunderson Ave,Cook,IL,60402,USA,(603) 555-0153,(603) 555-0182,A138U804,http://www.aimssocial.com,"41,894,809",Media,77000000,400,Private,POW,An innovator in its area.,,Cook,,,,,,,,500000,100000
Account.036,Homeland Audio Co.,Competitor,1984 Gufford Dr,New Hanover,NC,28403,USA,1984 Gufford Dr,New Hanover,NC,28403,USA,(448) 555-0153,(448) 555-0182,A556U556,http://homelandaudioco.net,"14,405,862",Transportation,250000000,200,Private,HOM,Up and coming player in the space.,,New Hanover,,,,,,,,700000,400000
Account.037,Jones Audio Corp,,,Los Angeles,CA,94105-5188,USA,,,,,,(720) 555-0153,(720) 555-0182,A642U190,,,,240000000,,,,,,Los Angeles,,,,,,,,,
Account.038,Roseburg Sound Products Co,Customer,3484 Pinklon Circle,San Miguel,CA,93451,United States,,,,,,(261) 555-0153,(261) 555-0182,A642U195,http://www.roseburgforestproductsco.net,,Environmental,24000000,1600,,,,,Headquarters,,,,,,,,,
Account.039,CTW Resellers,Partner,223 Polk St.,San Francisco,CA,94133,USA,223 Polk St.,San Francisco,CA,94133,USA,(415) 555-0153,(415) 555-0182,A642U201,http://www.ctwresellers.com,,Retail,50000000000,80,,,,,Headquarters,,,,,,,,,
Account.040,Harmon Consulting,Customer,,San Francisco,CA,94105-5188,USA,,,,,,(720) 555-0153,(720) 555-0182,A642U196,,,,2400000,,,,,,Headquarters,,,,,,,,,
Account.041,Gusto Sound and Audio,Customer,69 Oberlin,Stevens Point,WI,54481,USA,,,,,,(631) 555-0153,(631) 555-0182,A642U197,http://www.gustodistributing.com,,Banking,550000000,1200,,,,,Headquarters,,,,,,,,,
Account.042,Good Fellas Audio,,5680 Hardwoods Cove,Friedensburg,PA,17933,USA,,,,,,(767) 555-0153,(767) 555-0182,A642U198,http://www.goodfellasaudio.com,,Chemicals,83000000,200,,,,,Headquarters,,,,,,,,,
Account.043,Green Fields Media,,660 Sutter St,Denver,CO,94102-1018,USA,,,,,,,,A510U788,www.greendotmedia.com,,,40000,,,,,,Denver,,,,,,,,,
Account.044,Wells Fargo,,,San Francisco,CA,94105-5188,USA,,,,,,,,A642U188,www.wellsfargo.com,,,2400000000,,Public,WFC,,,San Francisco,,,,,,,,,
Account.045,Momentum Design,Prospect,362 Monroe St.,Prescott,WI,54021,USA,362 Monroe St.,Prescott,WI,54021,USA,,,A642U189,www.momentumdesign.com,7375,Engineering,29321000000,31353,Public,GOOG,"If you don't Google, you probably aren't finding what you want online. Google operates the leading Internet search engine, offering targeted search results from billions of Web pages. Results are based on a proprietary algorithm -- Google's technology for ranking Web pages is called PageRank. The company generates nearly all of its revenue through ad sales. Advertisers can deliver relevant ads targeted to search queries or Web content. The Google Network is a network of third-party customers that use Google's ad programs to deliver relevant ads to their own sites. Google subsidiaries include YouTube and DoubleClick. Founders Sergey Brin and Larry Page each have nearly 30% voting control of the firm.",,Headquarters,,60902413,Google.com,517919,All Other Telecommunications,1998,Information Retrieval Services,,
Account.046,Silodyne Company,Prospect,60 West 66th Street,New York,NY,10023,United States,60 West 66th Street,New York,NY,10023,United States,#ERROR!,,,www.silodyne.com,4833,Manufacturing,1976400000,,Private,,,,Headquarters,Referral,7875560,ABC,,,1946,Television Broadcasting Stations,,
Account.047,"Plasmosis, Inc.",Prospect,8121 Georgia Ave,Silver Spring,MD,20910,United States,8121 Georgia Ave,Silver Spring,MD,20910,United States,#ERROR!,,,www.plasmosis.com,,Biotechnology,0,0,Private,,,,Branch,Referral,30616746,Espn,515210,Cable and Other Subscription Programing,,,,
Account.048,"Inventure, Inc.",Prospect,346 South Arthur Avenue,Louisville,CO,80027,United States,346 South Arthur Avenue,Louisville,CO,80027,United States,,,,www.inventure.com,7011,Engineering,0,0,Private,,,,Branch,Referral,794797548,WALT DISNEY WORLD CO.,721110,Hotels (except Casino Hotels) and Motels,,Hotels and Motels,,
Account.049,"NetAssist, Inc.",Prospect,215 S. McDowell Street,Raleigh,NC,27601,United States,215 S. McDowell Street,Raleigh,NC,27601,United States,,,,www.netassist.com,7812,Technology,0,0,Private,,,,Branch,Referral,827602132,LUCASFILM LTD.,512110,Motion Picture and Video Production,,Motion Picture and Video Production,,
Account.050,"Accusage, Inc.",Prospect,2305 South 1070 West,Salt Lake City,UT,84119,USA,2305 South 1070 West,Salt Lake City,UT,84119,USA,#ERROR!,,,www.accusage.com,7819,Biotechnology,0,4730,Private,,,,Headquarters,Referral,230385908,WALT DISNEY CO,512199,Other Motion Picture and Video Industries,1992,Services Allied To Motion Pictures,,
Account.051,"Biospan, LLC.",Prospect,3401 Walnut Street,Philadelphia,PA,19104,USA,3401 Walnut Street,Philadelphia,PA,19104,US,(653) 555-0151,(653) 555-0152,A642U203,www.biospan.com,,Biotechnology,1250000000,1200,,,,,Philadelphia,,,,,,,,,
Account.052,Red Studio Designs,Partner,101 California St,San Francisco,CA,94105-5188,United States,101 California St.,San Francisco,CA,94105-5188,United States,(415) 645-9988,,A642U191,,,Consulting,24000000,,,,,,Headquarters,,,,,,,,,
Account.053,Styles and Sound Inc.,,50 Fremont,San Francsico,CA,94105-5188,USA,,,,,,(415) 778-6655,,A642U200,,,,240000000,,,,,,Headquarters,,,,,,,,,
Account.054,Tech Labs,Customer,800 3rd Street,San Francisco,CA,94105-5188,United States,800 3rd Street,San Francisco,CA,94105-5188,United States,(415) 784-6532,,A642U193,,,Technology,2400000,,,,,,Headquarters,,,,,,,,,
Account.055,"Salesforce.com, Inc.",,,San Francisco,,,,,,,,,,,A642U194,www.salesforce.com,,Technology,,,,,,,,Referral,,,,,,,,
Account.056,Assurity Corporation,Prospect,500 S Buena Vista St,Burbank,CA,91521-0007,United States,,,,,,#ERROR!,,,www.assurity.com,4833,Insurance,42278000000,166000,Public,DIS,"The monarch of this magic kingdom is no man but a mouse -- Mickey Mouse. The Walt Disney Company is the world's largest media conglomerate, with assets encompassing movies, television, publishing, and theme parks. Its Disney/ABC Television Group includes the ABC television network and 10 broadcast stations, as well as a portfolio of cable networks including ABC Family, Disney Channel, and ESPN (80%-owned). Walt Disney Studios produces films through imprints Walt Disney Pictures, Disney Animation, and Pixar, and its Marvel Entertainment is a top comic book publisher and film producer. In addition, Walt Disney Parks and Resorts operates the company's popular theme parks including Walt Disney World and Disneyland.",,Headquarters,Referral,932660376,,515120,Television Broadcasting,1995,Television Broadcasting Stations,,
