"ID","EXTERNAL_ID__C","NAME","DESCRIPTION","ACCEPTANCELABEL","REJECTIONLABEL","ACTIONREFERENCE","CATEGORY__C","RANKING__C","TTH_ADDRESS__C","TTH_LOCATION__C","TTH_NATURE_OF_TRIP__C","TTH_TRAVEL_ACTIVITIES__C","TTH_TRAVEL_BUDGET__C","TTH_TRAVEL_GEOGRAPHY__C","TTH_TRAVEL_LEVEL__C","TTH_TRAVEL_LOCATION__C","TTH_TRAVEL_VIBE__C","TTH_TRAVEL_WEATHER__C","TTH_TRIP_STAGE__C","TTH_TRIP_SUB_STAGE__C","STATUS"
"0pr6g000000Lor4AAC","tthRecommendation.011","Rebook Transport - Disruption","Reschedule transport due to travel disruption","Yes, please help me","No, I will rebook myself","Rebook_Transport","RebookTransport","5","","","Personal","","","","Trip","","","","OnTrip","Experiencing Disruption","Item Created"
"0pr6g000000Lor5AAC","tthRecommendation.012","Family & Friends Discount","Tell your friends and family and get a discount","Sure!","No thanks","Referral_Code","","","","","Personal","","","","Trip","","","","PostTrip","Positive Sentiment","Item Created"
"0pr6g000000Lor6AAC","tthRecommendation.013","Recommend Restaurant","Recommend a local place to eat","Yes please","No thanks","Suggestion_Restaurant","","","","","Personal","","","","Trip","","","","OnTrip","Experiencing Disruption,Smooth Travels","Item Created"
"0pr6g000000Lor7AAC","tthRecommendation.014","Travel Profile","Complete your traveler profile and we can suggest more tailored experiences","Complete Profile","No thanks","tth_Complete_Traveler_Profile","ProfileInfo","10","","","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000Lor8AAC","tthRecommendation.015","Early Check-in","Request an Early Check-in","Yes please","No thanks","tth_Early_Check_in","","","","","Personal","","","","Trip","","","","PreTrip,OnTrip","Has Future Booking,Smooth Travels","Item Created"
"0pr6g000000Lor9AAC","tthRecommendation.016","Luggage Partners","Too much stuff? Check out our luggage partner's deals","Show me","No thanks","tth_Luggage_Partner","","","","","Personal","","","","Trip","","","","PreTrip","Has Future Booking","Item Created"
"0pr6g000000LorAAAS","tthRecommendation.017","Rebook Accomodation - Disruption","Reschedule accomodation due to travel disruption","Yes, please help me","No, I will rebook myself","tth_Rebook_Accomodation","RebookAccomodation","3","","","Personal","","","","Trip","","","","OnTrip","Experiencing Disruption","Item Created"
"0pr6g000000LorBAAS","tthRecommendation.018","Rebook Flight - Disruption","Reschedule a flight due to travel disruption","Yes, please help me","No, I will rebook myself","tth_Rebook_Flight","RebookFlight","1","","","Personal","","","","Trip","","","","OnTrip","Experiencing Disruption","Item Created"
"0pr6g000000LorCAAS","tthRecommendation.019","Refund Request","Request a refund","Yes please","No thanks","tth_Refund_Request","","","","","Personal","","","","Trip","","","","PostTrip","Negative Sentiment","Item Created"
"0pr6g000000LorDAAS","tthRecommendation.020","Seat Upgrade","Get Upgraded","Yes please","No thanks","tth_Seat_Upgrade","","","","","Personal","","","","Trip","","","","PreTrip","Has Future Booking","Item Created"
"0pr6g000000LorEAAS","tthRecommendation.021","Post to Social","Talk to us online","Sure!","No thanks","tth_Suggest_Social_Post","","","","","Personal","","","","Trip","","","","PostTrip","Positive Sentiment","Item Created"
"0pr6g000000LorFAAS","tthRecommendation.022","Create a Case","Let us know how we did","Yes I have feedback","No thanks","tth_Trip_Complaint_Compliment","","","","","Personal","","","","Trip","","","","PostTrip","Negative Sentiment","Item Created"
"0pr6g000000LorGAAS","tthRecommendation.023","Trip Inspiration","Let us inspire your next adventure!","Please Inspire me!","No thanks","tth_Trip_Inspiration","","","","","Personal","","","","Trip","","","","PreTrip","No Future Booking","Item Created"
"0pr6g000000LorHAAS","tthRecommendation.024","Pacific Catch","Hawaiian, Seafood, Vegetarian Friendly","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","","","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LorIAAS","tthRecommendation.025","Blue Bottle Cafe","Cafe, Vegetarian Friendly, Vegan Options","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","","","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LorJAAS","tthRecommendation.026","Eight Am","American, Cafe, Vegetarian Friendly","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","","","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LorKAAS","tthRecommendation.027","Hog Island Oyster Company","American, Seafood, Soups","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","","","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LorLAAS","tthRecommendation.028","Sail the Bay","Outdoor Activities, Tours, Boat Tours & Water Sports","Sure, sounds like fun","No thanks","Book_Local_Attraction","Activities","","","San Francisco","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LorMAAS","tthRecommendation.029","Alcatraz Cruises","Boat Tours & Water Sports, Tours, Outdoor Activities","Sure, sounds like fun","No thanks","Book_Local_Attraction","Activities","","","San Francisco","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LorNAAS","tthRecommendation.030","Mountain Bike San Francisco","Outdoor Activities, Tours, More","Sure, sounds like fun","No thanks","Book_Local_Attraction","Activities","","","San Francisco","Personal","","","","Trip","","","","","","Item Created"
